[2025-09-02 19:21:00,636] 26 root - INFO - Data loading started...
[2025-09-02 19:21:01,050] 36 root - INFO - Data loading completed...
[2025-09-02 19:21:01,692] 34 root - INFO - Initializing Gemini Embedding model...
[2025-09-02 19:21:01,863] 49 root - INFO - Creating vector index from documents...
[2025-09-02 19:21:04,597] 58 root - INFO - Converting index to a query engine...
[2025-09-02 19:23:42,273] 26 root - INFO - Data loading started...
[2025-09-02 19:23:42,273] 36 root - INFO - Data loading completed...
[2025-09-02 19:23:42,708] 34 root - INFO - Initializing Gemini Embedding model...
[2025-09-02 19:23:42,721] 49 root - INFO - Creating vector index from documents...
[2025-09-02 19:23:45,222] 58 root - INFO - Converting index to a query engine...
[2025-09-02 19:25:18,108] 26 root - INFO - Data loading started...
[2025-09-02 19:25:18,110] 36 root - INFO - Data loading completed...
[2025-09-02 19:25:18,462] 34 root - INFO - Initializing Gemini Embedding model...
[2025-09-02 19:25:18,480] 49 root - INFO - Creating vector index from documents...
[2025-09-02 19:25:20,802] 58 root - INFO - Converting index to a query engine...
